serial,description,meter,historical_matches
11-15764,2024 CATERPILLAR 963,963.2,1
11-15830,CATERPILLAR 963K,5431.2,1
11-15911,2022 LIEBHERR L538,103.31,1
11-16095,2025 CATERPILLAR 275,2.0,6
11-16097,2025 CATERPILLAR 275,3.5,1
11-16245,CAT 963 W BUCKET,5.9,1
11-16311,CAT 275 SKID STEER,3,1
11-16312,CAT 275 SKID STEER,7,2
11-16452,JOHN DEERE 624,105,1
11-16455,JOHN DEERE 624 W/ FORKS,87.1,2
11-18253,CAT 963 LOADERS,9996.9,1
11-19860.,CAT D4 DOZER,7615.0,1
11-829,CAT 352 BH,2199.4,1
11-9860.,CAT D4 DOZER,7628.9,23
11099964,TELEHANDLER,127.4,1
11274777,DITCH WITCH 600,585,1
11404317,"6"" PUMP RENTAL",N/A,1
11404321,"6"" PUMP(UNITED RENTALS)",N/A,2
11462918,"6"" PUMP RENTAL",28.6,1
11681542,BOMAG ROLLER,20.1,2
1168321,JD 9400 TRACTOR,994,1
11709640,DODGE 1500 W/PLOW,"11,679.4",1
119890,BUCKET (RENTAL),N/A,1
12-12004,SANVIK QE341 SCREEN,5776,1
12-12676,CAT D6 DOZER,1265.0,1
12036957,4000 GAL WATER TRUCK,N/A,2
129535,FORKS,N/A,1
13-051,CAT CP56 PAD ROLLER,2993.0,1
13-09902,JOHN DEERE 460 DUMP TRUCK,6689.0,1
13-208,VOLVO A45 DUMP TRUCK,750.0,1
130481-01,BUCKET,N/A,1
131,STEEL PLATE,N/A,1
132288-10000-1,IEBHERR 538 WHEEL LOADER,1411.41,1
14-CONCRETE BLOCKS,14-CONCRETE BLOCKS,N/A,1
14024018,ATTACHMENT,N/A,2
14133,PUMP,N/A,1
14219,VOLVO 235 BH RENTAL,131.2,1
1424CC25095,CATERPILLAR 953 TRACK LOADER,1121.5,1
14627,VOLVO A40,349.0,1
146743,KUBOTA SKID,4503.0,1
15-3136,CAT 374 PARTS,N/A,1
1563,JOHN DEERE 135,6,1
1581410,JOHN DEERE TRACTOR,400.1,1
15W544PAVMLZ12889,JOHN DEER 544P,266.0,1
